"Image","Cluster"
"Village Scene (Amsterdam).jpg","0"
"Rocky Landscape with St. Wendelin.jpg","5"
"Allegory of Air (London).jpg","8"
"The Vision of St. Hubert (Madrid).jpg","5"
"Allegory of Air and Fire (The Hague).jpg","6"
"Man on Egg (Antwerp).jpg","3"
"Allegory of Fire (Stuttgart).jpg","6"
"Landscape with Fort near Harbor.jpg","0"
"The Raid (Toronto).jpg","1"
"Basket of Flowers (New York).jpg","9"
"Orpheus (London 1938).jpg","2"
"The Road to Calvary (Zurich).jpg","2"
"The Ruins of Castle Merxem, near Antwerp.jpg","4"
"Adoration of the Magi (St. Petersburg).jpg","5"
"Allegory of Fire^% Venus in the Forge of Vulcan (Monaco).jpg","6"
"Cartouche Around Pastoral Scene (Dusseldorf).jpg","9"
"Allegory of Earth and Water (Dusseldorf).jpg","1"
"Portrait of Archduke Albrecht of Austria.jpg","7"
"Garland around an Medallion of Madonna and Child and Saint John the Baptist, with the Apostles in Four Corners (New York, Christie's).jpg","7"
"Aeneas and Sibyl in the Underworld (Amsterdam).jpg","1"
"Village Road, Cruybeke.jpg","4"
"Feast of the Gods with Marriage of Peleus and Thetis.jpg","5"
"View of a Village by a River with a Watermill.jpg","4"
"Country Road with Travelers and Man Praying at Shrine.jpg","1"
"Mountainous Landscape with Travelers on a Hilly Road.jpg","0"
"Visit to the Farmers (Brussels, Goidsenhoven).jpg","6"
"Peasant dance, feast (Antwerp).jpg","6"
"Village Kermis.jpg","1"
"The Misanthropist (Unknown Collection).jpg","3"
"Bird Concert (De Jonckheere, Paris-Brussels).jpg","5"
"Country Road.jpg","0"
"Rocky Landscape with Flight into Egypt (London).jpg","3"
"Landscape with Travelers.jpg","1"
"Fruit Garland with Madonna and Child.jpg","5"
"River with Boats, Lined with Trees and Houses.jpg","0"
"Temptation of St. Anthony (Germany).jpg","1"
"Ships at a Jetty.jpg","4"
"View of City along a River.jpg","1"
"Allegory of Sight and Smell.jpg","5"
"Flowers in a Tazza (Netherlands).jpg","9"
"Orpheus Sings for Pluto and Proserpina (London).jpg","5"
"John the Baptist in a Cartouche with Flowers - Pendant (Christie's, London, 2006).jpg","5"
"Adoration of the Magi (Rome).jpg","5"
"Wooded Landscape with Hunters.jpg","1"
"Cartouche with Flowers Around an Amorous Couple (Munich).jpg","9"
"Study with Riders, Figures, and Cattle.jpg","4"
"Proverb ^% 'Woman with pot of water'.jpg","3"
"Coastal Landscape with Temple of Vesta (London).jpg","1"
"Mountain Landscape with Hermits (London).jpg","3"
"Coaches on the Road.jpg","4"
"River Landscape with Temple of Vesta.jpg","3"
"Diana and Her Nymphs After the Hunt.jpg","5"
"Visit to the Farmers (Monaco, Sotheby's).jpg","5"
"The Roman Forum and the Round Temple.jpg","0"
"Mountain Landscape with Tivoli Temple and Gypsies.jpg","1"
"The Death of Orpheus.jpg","2"
"Roadside Chapel on a Hill.jpg","8"
"Canal through a Village.jpg","4"
"Landscape with Mariemont Castle.jpg","1"
"A Garland of Flowers Surrounding the Virgin and Child (Lempertz, Cologne, 2006).jpg","7"
"Allegory of Peace.jpg","5"
"Feast of the Gods with Musical Nymphs.jpg","5"
"A Bridal Feast (Unknown).jpg","6"
"Plowman, Two Horses, Woman, and Child.jpg","4"
"Rocky Landscape with Hermits.jpg","8"
"Albert and Isabella before Mariemont Castle.jpg","1"
"Holy Family in a Landscape (Munich).jpg","5"
"Village Wedding Procession (Madrid).jpg","5"
"View of a Walled City.jpg","4"
"Wide Landscape with Wagons (Marseille).jpg","1"
"Landscape with one of the four elements^% Air (Sotheby's, London, 1993).jpg","2"
"Visit to the Farmers (London, Old Masters Galleries).jpg","5"
"Procession of the Bride (Brussels, 1935).jpg","6"
"Holy Family with Putti in a Landscape.jpg","6"
"Road with a Ford in a Wood.jpg","1"
"Allegory of Fire (Paris).jpg","6"
"Flowers in Earthenware Vase (Netherlands).jpg","9"
"Forest Landscape with the Appearance of the Lord to Abraham at Mamre.jpg","3"
"Road through the Countryside with Travelers.jpg","1"
"Bright Forest Landscape with Hunters.jpg","8"
"Figure Study with Riders and Dancing Peasants.jpg","4"
"Netherlandish Proverbs (unknown).jpg","5"
"Procession in the Winter.jpg","3"
"River Landscape with Landing Stage (Amsterdam).jpg","1"
